,position,company_name,rating,location,salary,country,days,salary_num,date
0,Business Analyst & Engineer SAP BW (w/m/d) Teilzeit/Vollzeit,Helvetia Versicherungen,,nan,nan,Switzerland,18.0,,2020-05-29
1,Data Analyst,Acpqualife Suisse,,"Genf, GE",nan,Switzerland,11.0,,2020-06-05
2,Business Senior Analyst – Data Sourcing,CRISIL Limited,,"Zürich, ZH",CHF 492 - CHF 644 pro Tag,Switzerland,4.0,119423.16,2020-06-12
3,Business Analyst / Data Analyst,Infoplus Technologies,,"Basel, BS",nan,Switzerland,5.0,,2020-06-11
4,Data Warehouse Analyst (w/m),St.Galler Kantonalbank,,"St. Gallen, SG",nan,Switzerland,17.0,,2020-05-30
5,"Graduate Talent Program 2020, Sales Data Analyst",UBS,,"Zürich, ZH",nan,Switzerland,3.0,,2020-06-13
6,Data Analyst - DWH Specialist,Fincons Spa,,"Lugano, TI",nan,Switzerland,9.0,,2020-06-07
7,IT Business Analyst,Infoplus Technologies,,"Basel, BS",nan,Switzerland,26.0,,2020-05-21
8,RWA Analyst,CRISIL Limited,,"Zürich, ZH",nan,Switzerland,16.0,,2020-05-31
9,Data Analyst (f/m) 80-100%,Ricardo,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
10,Private Equity Analyst Program - Primary Team (Venture Capit...,LGT,,Schweiz,nan,Switzerland,30.0,,2020-05-17
11,Business Development Analyst Intern,StepStone Group LP,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
12,Asset Analyst neue erneuerbareEnergien 100% (m/w),WinJi,,"Zürich, ZH",nan,Switzerland,12.0,,2020-06-04
13,Financial Analyst,Abbott Laboratories,,"Basel, BS",nan,Switzerland,12.0,,2020-06-04
14,Marketing Data Analyst (m/w),Touring Club Suisse,,"Schönbühl, BE",nan,Switzerland,30.0,,2020-05-17
15,"Cyber Intelligence Analyst, Trust and Safety",Google,,"Zürich, ZH",nan,Switzerland,17.0,,2020-05-30
16,Datawarehouse Analyst / Data Engineer,Cembra Money Bank,,"Zürich, ZH",nan,Switzerland,17.0,,2020-05-30
17,Data analyst,Octal,,"Saint Saphorin, VD",nan,Switzerland,30.0,,2020-05-17
18,Planning Analyst,Johnson & Johnson Family of Companies,,"Zuchwil, SO",nan,Switzerland,30.0,,2020-05-17
19,Optical Element Data Analyst (m/f/d),ams,,"Rüschlikon, ZH",nan,Switzerland,30.0,,2020-05-17
20,Data Analyst (Junior/Mid-level),Partners Group,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
21,Digital Data Analyst 100% (w/m),CH Media Holding AG,,"Aarau, AG",nan,Switzerland,18.0,,2020-05-29
22,HR Data Analyst / HR Controller (w/m) 80–100%,TX Group,,"Zürich, ZH",nan,Switzerland,6.0,,2020-06-10
23,Associate Data Scientist - Information Technology (m/f),Procter & Gamble,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
24,Data Consultant,Onedot,,"Schlieren, ZH",nan,Switzerland,1.0,,2020-06-15
25,Praktikanten oder Werkstudenten Data Mining (m/w),LUXENDO GmbH,,"Fällanden, ZH",nan,Switzerland,0.0,,2020-06-16
26,Portfolio Reporting analyst,Syngenta,,"Basel, BS",nan,Switzerland,12.0,,2020-06-04
27,Financial Analyst,Eastman,,"Zug, ZG",nan,Switzerland,13.0,,2020-06-03
28,Junior Business Analyst Data Quality Control,Credit Suisse,,"Zürich, ZH",nan,Switzerland,8.0,,2020-06-08
29,Internship Global Master Data Analyst,Lonza,,"Visp, VS",nan,Switzerland,19.0,,2020-05-28
30,Junior BI Analyst EMEA,Align Technology,,"Rotkreuz, ZG",nan,Switzerland,30.0,,2020-05-17
31,Business Intelligence Analyst,Resideo,,"Nyon, VD",nan,Switzerland,10.0,,2020-06-06
32,Power Analyst,AXPO,,"Baden, AG",nan,Switzerland,28.0,,2020-05-19
33,Consultant(e) / Ingénieur(e) Data Analyst,Sigma,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
34,Business Analyst – Pharma experience mandatory,Tech Mahindra BPS,,"Basel, BL",nan,Switzerland,19.0,,2020-05-28
35,International Senior Client Services Analyst,IQVIA,,"Rotkreuz, ZG",nan,Switzerland,11.0,,2020-06-05
36,Senior Petroleum Analyst,AXPO,,"Baden, AG",nan,Switzerland,26.0,,2020-05-21
37,Freight Analyst,Koch Supply & Trading,,"Genf, GE",nan,Switzerland,10.0,,2020-06-06
38,Junior Data Analyst (m/w),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
39,Market Analyst (50–100%),CREALOGIX,,"Zürich, ZH",nan,Switzerland,7.0,,2020-06-09
40,Project Data Analyst / Controller,Swisscontact,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
41,SEO Data Analyst f/m/d,Scout24 Schweiz AG,,"Flamatt, FR",nan,Switzerland,30.0,,2020-05-17
42,Operational Compliance Analyst Intern,Total,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
43,Computational Biologist for Biomedicine,Universität Basel,,"Basel, BS",nan,Switzerland,0.0,,2020-06-16
44,Financial Crimes Technology Data Modeler / Analyst,UBS,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
45,Innovation Analyst Internship (m/f) 100%,Implenia Schweiz AG,,"Dietlikon, ZH",nan,Switzerland,11.0,,2020-06-05
46,Data Delivery Analyst,Credit Suisse,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
47,Data Engineer,Onedot,,"Schlieren, ZH",nan,Switzerland,6.0,,2020-06-10
48,Data Privacy Analyst,Swisslinx,,"Zug, ZG",nan,Switzerland,16.0,,2020-05-31
49,Corporate Finance Analyst / Associate,Advanon,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
50,"Derivatives Middle Office Analyst, Internship",Total,,"Genf, GE",nan,Switzerland,10.0,,2020-06-06
51,Digital Biomarker Data Processing Solutions Architect,Roche,,nan,nan,Switzerland,30.0,,2020-05-17
52,Graduate Artificial Intelligence and Analytics (Data Enginee...,Cognizant,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
53,Business analyst,Corteva Agriscience,,"Versoix, GE",nan,Switzerland,30.0,,2020-05-17
54,IT Business Analyst Client Data Management (w/m),LGT,,"Bendern, LI",nan,Switzerland,30.0,,2020-05-17
55,Business Analyst,Beekeeper,,"Zürich, ZH",nan,Switzerland,10.0,,2020-06-06
56,Business Support Analyst,Barclays,,"Genf, GE",nan,Switzerland,9.0,,2020-06-07
57,ESG Analyst,S&P Global,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
58,Field Data Analyst (Aussendienst),Voigt Industrie Service AG,,"Niederbipp, BE",nan,Switzerland,30.0,,2020-05-17
59,CRM IT Analyst with Programming Skills,Ermenegildo Zegna,,"Stabio, TI",nan,Switzerland,18.0,,2020-05-29
60,"Portfolio Analyst (m/f/d) at Allianz SE Reinsurance, Zurich",Allianz SE Reinsurance,,"Zürich, ZH",nan,Switzerland,13.0,,2020-06-03
61,BI Analyst (temporary assignment 6,Sophia Genetics,,"Lausanne, VD",nan,Switzerland,30.0,,2020-05-17
62,Quantitative Treasury Analyst,Swissquote,,"Gland, VD",nan,Switzerland,30.0,,2020-05-17
63,DWH EXPERT,Vicara Infotech Group AG,,Schweiz,nan,Switzerland,30.0,,2020-05-17
64,"Data Analyst, Data Warehouse (SQL, Excel)",Esprit Personalberatung,,"Bezirk Bülach, ZH",nan,Switzerland,30.0,,2020-05-17
65,Procurement Analyst,Amcor,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
66,GIA - Governance & Operational Excellence - Operations Analy...,Swiss Re,,Schweiz,nan,Switzerland,5.0,,2020-06-11
67,Business Analyst Intern,L'OCCITANE en provence,,"Genf, GE",nan,Switzerland,17.0,,2020-05-30
68,"BI/CRM Analyst, EMEA",Align Technology,,"Rotkreuz, ZG",nan,Switzerland,30.0,,2020-05-17
69,Investment Advisor,AMP Partners,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
70,"Regulatory Reporting Analyst, temporary",UBS,,"Opfikon, ZH",nan,Switzerland,20.0,,2020-05-27
71,Cloud BI and Data Warehouse Specialist,Vicara Infotech Group AG,,Schweiz,nan,Switzerland,30.0,,2020-05-17
72,Data Analyst (m/f) - Trading and financial data,Michael Page,,"Nyon, VD",nan,Switzerland,30.0,,2020-05-17
73,Application Analyst SAP Logistic (m/f),Mikron Holding,,"Boudry, NE",nan,Switzerland,30.0,,2020-05-17
74,Data Analyst Administrator,Experis,,"Genf, GE",nan,Switzerland,17.0,,2020-05-30
75,Business Analyst,Aera Technology,,"Lausanne, VD",nan,Switzerland,30.0,,2020-05-17
