,position,company_name,rating,location,date_listed,salary
4,Junior Data Analyst,Keyrus,,België,Meer dan 30 dagen geleden,
5,Data Analyst,Proximus Group,"3,9",Brussel,Zojuist geplaatst,
6,Junior Data Analyst,dataa,,Brussel,Meer dan 30 dagen geleden,
7,Junior Support Analyst – Brussels,"Dellent Consulting, Lda.",,Brussel,21 dagen geleden,
8,Data Analyst,Easyfairs,,Brussel,10 dagen geleden,
9,CPM Analyst,Keyrus,,België,Meer dan 30 dagen geleden,
10,Business Analyst Finance,Brevco Services,,Brussel,3 dagen geleden,€500 - €520 per dag
11,Data Scientist,b.fine,,Brussel,3 dagen geleden,
12,Data Analyst Tableau / Power BI,dataa,,Brussel,Meer dan 30 dagen geleden,
13,Metadata Modeler – Data Management,ING,"4,0",België,Meer dan 30 dagen geleden,
14,Portfolio Analyst,NATO - OTAN,"4,5",Brussel,Zojuist geplaatst,
15,Junior Data Analyst (Python),Worldline,"4,0",Evere,Meer dan 30 dagen geleden,
16,Data Analyst,Satellic NV,,België,Meer dan 30 dagen geleden,
17,Junior lab analyst (Braine-l’Alleud),Eurofins Belgium Professional Scientific Services,,Eigenbrakel,20 dagen geleden,
19,DATA ANALYST,Bangura Solutions,,Brussel,Meer dan 30 dagen geleden,
20,Functional Analyst Data Migration,tillit,,Gent,28 dagen geleden,
21,Business Intelligence Analyst,Newpharma,"3,6",Luik (stad),7 dagen geleden,
22,Business Analyst/Data Sharing Assistant- remunerated interns...,L'Oreal,"4,1",Brussel,Meer dan 30 dagen geleden,
23,Data Analyst,dataa,,Brussel,Meer dan 30 dagen geleden,
24,Business Analyst Supply Chain (m/f),Zetes,"3,7",België,Meer dan 30 dagen geleden,
25,Digital Data Analyst,Centrum voor Avondonderwijs,,België,Meer dan 30 dagen geleden,
26,Junior Performance Analyst,Clicktrust,,Brussel,Meer dan 30 dagen geleden,
27,Jr FP&A Analyst,Showpad,,Gent,11 dagen geleden,
28,Clinical Data Analyst,CluePoints,,Louvain-la-Neuve,5 dagen geleden,
29,Junior Mapping Analyst,Seety,,Oudergem,Meer dan 30 dagen geleden,
30,Data Scientist,OMP,,Wommelgem,Meer dan 30 dagen geleden,
31,API/Integration Analyst,we-archers,,België,Meer dan 30 dagen geleden,
32,Logistics Analyst,Lifescan,,Geel,24 dagen geleden,
33,Test Analyst,Euroclear,"4,0",Brussel,Meer dan 30 dagen geleden,
34,Data and Reporting Analyst,SCOPE Advice & Development,,Brussel,Meer dan 30 dagen geleden,
35,Data Analist,Amnesty International Vlaanderen,"4,1",Bruxelles Ixelles,Meer dan 30 dagen geleden,
36,Data Scientist Forecasting,OMP,,Wommelgem,Meer dan 30 dagen geleden,
37,Data Integration Consultant – SAS Data Integration,Keyrus,,België,Meer dan 30 dagen geleden,
38,Data Analyst - People Analytics,Deloitte,"4,0",Zaventem,20 dagen geleden,
39,Data Governance Consultant,Square One Resources,,Brussel-Hoofdstad,Zojuist geplaatst,
40,Junior Business Analyst,Fenego,,Hasselt België,Meer dan 30 dagen geleden,
41,Business Analyst,GFI,,België,Meer dan 30 dagen geleden,
42,Quantitative analyst,InvestSuite,,Leuven,Meer dan 30 dagen geleden,
43,GEO-Data analist,Geo Solutions,,België,Meer dan 30 dagen geleden,
44,Senior Sizing Data Analyst,Levi Strauss & Co.,"3,9",Zaventem,16 dagen geleden,
45,Digital Business Analyst,Overstock,,België,Meer dan 30 dagen geleden,
46,Data Analyst,Infrabel,"3,9",Brussel,Meer dan 30 dagen geleden,
