,position,company_name,rating,location,date_listed,salary
6,Data Analyst Intern,TheShopworks,,Edinburgh,12 days ago,"£18,000 - £20,000 a year"
7,Data Analyst,IRIS Service Delivery,,Home Based,3 days ago,
8,Data Analyst Apprentice,Projecting Success,,Salisbury SP5 1RH,5 days ago,"£18,000 a year"
9,"Data/BI Analyst £40k, Southampton",Zupa Tech Ltd,,Southampton,4 days ago,"£35,000 - £40,000 a year"
10,Data Assurance Analyst,Milton Keynes University Hospital NHS Foundation T...,3.9,Milton Keynes MK6,Just posted,"£24,214 - £30,112 a year"
11,Data and Information Analyst,Tyne and Wear Fire and Rescue Service,4.5,Sunderland SR5 3QY,4 days ago,"£24,799 a year"
12,HEO - Operational Data Analyst,UK Government - Cabinet Office,3.9,West London,2 days ago,"£30,500 - £38,580 a year"
13,Data Analyst,FXCM,,London EC2V 7JE,5 days ago,"£35,000 a year"
14,Data Analyst,Draper & Dash,,London,8 days ago,
15,Business Analyst in Data Science,AstraZeneca,4.1,Melbourn SG8 6HB,3 days ago,
16,Business Intelligence and Data Analyst (Inside IR35),Public Sector Resourcing,3.0,Leeds,12 days ago,£21.74 - £26.27 an hour
17,Data Analyst - Summer Internship,Statkraft,3.7,London,7 days ago,
18,Research Analyst,Microsoft,4.2,Atherstone,2 days ago,
20,Data Analyst,The Disabilities Trust,3.0,Burgess Hill RH15 9NP,3 days ago,"£30,000 a year"
21,Data Analyst - Tableau,Summit Media Ltd,4.1,Kingston upon Hull HU10 6DN,13 days ago,
22,Data Management Analyst,NMPi,,London,12 days ago,
23,Data Quality Analyst,Golden Charter,3.3,Glasgow,3 days ago,"£35,000 a year"
24,Data Analyst,Southwark Council,3.8,London,4 days ago,
25,Fixed Term Data Analyst,County Broadband Ltd,5.0,Aldham,24 days ago,"£35,000 a year"
26,Data Entry Analyst,StarCompliance,,York,12 days ago,
27,Data Business Analyst,ASDA,3.5,Leeds LS11 5AD,4 days ago,
28,Procurement Data and Reporting Analyst,SSE plc,3.0,Glasgow,2 days ago,
