,position,company_name,rating,location,date_listed,salary
4,"Data Analyst (f/m/d) - Cologne, Paderborn or remote",DeepL GmbH,,Home Office,vor 20 Tagen,
5,Data Analyst Intern (m/f/d),Acanthos Ventures GmbH,,München,Vor mehr als 30 Tagen,
6,Praktikant (m/w/d) Data Analyst | Intern Data Analyst (f/m/d...,Factory Market Retail GmbH,"4,0",Berlin,Heute,
7,Data Analyst,Alexion Partners,,Bonn,Vor mehr als 30 Tagen,
10,Data Analyst (m/w/d) gesucht,Hanseatic Statistics,,Hamburg,vor 6 Tagen,27 € pro Stunde
11,Intern Data Analyst (m/f/d),UniCredit Bank,"3,9",München,vor 7 Tagen,
12,Data Analyst (w/m/d) Digitalisierung Kundenservice,Gesellschaft: EnBW Energie Baden-Württemberg AG,,Karlsruhe,vor 6 Tagen,
13,Data Analyst,Fy,,Berlin,Vor mehr als 30 Tagen,
14,Data Analyst (m/f/d),DONE! Berlin,,Berlin-Kreuzberg,vor 5 Tagen,
15,Data Analyst (m/f/d),REE,,Berlin,vor 21 Tagen,
19,JUNIOR DATA ANALYST,ePetWorld GmbH,,München,Heute,
20,Medical Data Analyst / Data Scientist (m/w/d),Rhön Klinikum,,Bad Neustadt an der Saale,Vor mehr als 30 Tagen,
24,Data Analyst (m/f/d),&ever | Farmers Cut GmbH,,Hamburg,Vor mehr als 30 Tagen,
25,Game Data Analyst (m/f/d),Huuuge Games,,Berlin,Vor mehr als 30 Tagen,
27,Data Analyst (m/f/d),Michael Page,"3,5",Düsseldorf,Vor mehr als 30 Tagen,80.000 € pro Jahr
28,Senior Data Analyst (f/m/diverse),Eurowings Digital GmbH,"4,0",Köln,vor 4 Tagen,
29,"Data Analyst Course Writer - SQL, Python (Freelance, Remote)...",CareerFoundry GmbH,,Deutschland,Vor mehr als 30 Tagen,
32,Data Analyst / Data Engineer (m/f/d),uptodate Ventures,,München,vor 23 Tagen,
33,Data analyst / Business analyst - F/H,autobiz,,Berlin,Vor mehr als 30 Tagen,
35,Data Analyst (m/f/d),Goreha GmbH,,Berlin,Vor mehr als 30 Tagen,
37,Data Analyst (w/m/d),European Energy Exchange AG,,Deutschland,vor 3 Tagen,
40,Junior Data Analyst (m/f/d),Creakom GmbH für kreative Kommunikation & Business...,,München,Vor mehr als 30 Tagen,
42,VIE Data analyst / Business analyst - F/H,autobiz,,Berlin,vor 13 Tagen,
43,Web & Data Analyst (w/m/divers),Otto (GmbH & Co KG),"3,6",Hamburg,Vor mehr als 30 Tagen,
44,Data Analyst (m/f/d),Creakom GmbH für kreative Kommunikation & Business...,,München,Vor mehr als 30 Tagen,
47,Data Analyst (m/w/d),Triple A Internetshops GmbH,,Bielefeld,vor 28 Tagen,
50,Data Analyst (f/m/x),Amorelie - Sonoma Internet GmbH,"3,7",Berlin,vor 11 Tagen,
52,Analyst – Corporate Data & Performance (m/f/d),TeamViewer Global,"3,6",Berlin,vor 9 Tagen,
65,Junior Market Research Analyst (full-time),yStats.com GmbH & Co. KG,,Hamburg,vor 7 Tagen,
85,Data Analyst (d/f/m),Cognizant,"3,9",München,vor 16 Tagen,
96,Wissenschaftlicher Mitarbeiter / Senior Legal Data Analyst (...,Gansel Rechtsanwälte,,Berlin,vor 21 Tagen,
102,(Junior) Data Engineer (m/f/d),Artefact,,Hamburg,Vor mehr als 30 Tagen,
103,Clinical Analyst,Futurios.com,,Berlin,vor 18 Tagen,33.000 € - 56.000 € pro Jahr
104,ESG Index Analyst (m/f/d) Equity Product Development,Solactive AG,,Frankfurt am Main,vor 3 Tagen,
105,Data Analyst (m/w/d) - Schwerpunkt Bewegtbild,Axel Springer,,Berlin,Vor mehr als 30 Tagen,
106,Freelance Data Analysis Mentors/Tutors (f/m/d),CareerFoundry GmbH,,Deutschland,Vor mehr als 30 Tagen,
107,Data Analyst - Praktikum,LOLOCO,,Köln,Vor mehr als 30 Tagen,
108,Data Analyst (Machine Learning) (m/w/d),IKOR AG,,Au,Vor mehr als 30 Tagen,
109,LOGISTIC SUPPORT ANALYST (M/F/D),Clincase,,Berlin,vor 14 Tagen,
110,Data Warehouse Analyst (m/w/d),IKOR AG,,Hamburg,Vor mehr als 30 Tagen,
120,Praktikant / Werksstudent (m/w/x) Data-Analyst,CARTONARA GmbH Co. KG,,Northeim,Vor mehr als 30 Tagen,
122,Market Analyst (Feed),Agrifoodcareer,,Bremen,vor 5 Tagen,3.000 € pro Monat
124,Data Analyst – Business Intelligencem (m/f/d),BuildingMinds,,Berlin,Vor mehr als 30 Tagen,
125,Business Intelligence Reporting Analyst,AAX,,Berlin,Vor mehr als 30 Tagen,
127,Data Analyst - Marketing Insights (m/f/d),​Fit Analytics GmbH,,Berlin,vor 2 Tagen,
128,Junior Data Consultant,Artefact,,Hamburg,Vor mehr als 30 Tagen,
129,Game Data Analyst - Hidden Object Game,Wooga,,Berlin,Vor mehr als 30 Tagen,
130,(Junior) Data Analyst - Business Intelligence,ABOUT YOU GmbH,,Hamburg,vor 25 Tagen,
131,Data Analyst,MOINsure GmbH,,Rostock,vor 12 Tagen,
132,Data Analyst (m/w/d),datapine GmbH,,Berlin,Vor mehr als 30 Tagen,
139,Data Analyst,luna-park GmbH,,Köln,Vor mehr als 30 Tagen,
140,GEN-C Graduate Program - AI / Analytics / Data Science / BI...,Cognizant,"3,9",Frankfurt am Main,Vor mehr als 30 Tagen,
141,Data Analyst / Data Engineer (m/w/d),uptodate Ventures,,München,vor 21 Tagen,
142,Business Intelligence (BI) Manager / Data Analyst (m/w/d),G+J Medien GmbH,"4,8",Hamburg,Vor mehr als 30 Tagen,
143,Data Engineer (m/w/t),Quandoo GmbH,"3,1",Berlin,Vor mehr als 30 Tagen,
145,Reporting Engineer / Data Analyst (m/w/d),mayato GmbH,"4,8",Deutschland,Vor mehr als 30 Tagen,
