,position,company_name,rating,location,date_listed,salary
0,Junior Data Analyst,Margera,,Κύπρος,Περισσότερες από 30 ημέρες πριν,
1,Data Analyst,Omnicliq,,Θεσσαλονίκη,2 ημέρες πριν,
2,Data Analyst/ Statistician,IRI ACE/Greece,,Αθήνα,Περισσότερες από 30 ημέρες πριν,
3,Health Economics - Analyst,IQVIA,"3,8",Αθήνα,11 ημέρες πριν,
4,"Consulting-Analytics-HTA, Analyst",IQVIA,"3,8",Αθήνα,11 ημέρες πριν,
5,Data Reporting Analyst,PepsiCo,"3,8",Κύπρος,17 ημέρες πριν,
6,Data Engineer,Tomorrow,,Αθήνα,6 ημέρες πριν,
7,Business Analyst,RenderSimple,,Αθήνα,Περισσότερες από 30 ημέρες πριν,
8,Financial Analyst,KALIMBASSIERIS MARITIME,,Πειραιάς,21 ημέρες πριν,
9,Business Analyst,iTechScope M.Ε.Π.Ε.,,Αττική,10 ημέρες πριν,
10,Web/ Data Analyst,T.T. Connections Recruitment,,Κύπρος,3 ημέρες πριν,
11,Data Analyst,THE PEARLS COLLECTION,,Βουλιαγμένη,Περισσότερες από 30 ημέρες πριν,
12,Senior Business Intelligence Analyst,ICAP Group,"2,7",Αθήνα,5 ημέρες πριν,
13,Quality Assurance Analyst,Reborrn Ltd,,Αθήνα,4 ημέρες πριν,
14,Data Scientist – Data Analyst,EY,"4,0",Αθήνα,Περισσότερες από 30 ημέρες πριν,
15,Financial Analyst,Ellaktor,,Κηφισιά,21 ημέρες πριν,
16,Junior Data Analyst,Jobs Cyprus,,Κύπρος,6 ημέρες πριν,
17,Data Analyst / Engineer,improvIT,,Αθήνα,4 ημέρες πριν,
19,PPC Trainee – Web Analyst,Generation Y,"3,3",Αθήνα,13 ημέρες πριν,
20,Business Analyst,Human Factor,,Αθήνα,19 ημέρες πριν,
21,Customer Analyst,ACTIONLINE,,Αττική,Περισσότερες από 30 ημέρες πριν,
22,Senior Financial Analyst,Grant Thornton,"3,7",Αθήνα,Περισσότερες από 30 ημέρες πριν,
23,Reconciliation and Data Analyst,D&E LAVORO AGENCY,,Κύπρος,20 ημέρες πριν,
24,Business Analyst,ICAP Group,"2,7",Αθήνα,20 ημέρες πριν,
26,JUNIOR DATA ANALYST,,,Άγιος Ιωάννης Ρέντης,Περισσότερες από 30 ημέρες πριν,
27,Reconciliation and Data Analyst VAC-18995G,STAFFMATTERS RECRUITMENT SPECIALISTS,,Κύπρος,19 ημέρες πριν,
29,Business Analyst,WIND HELLAS,"3,5",Αττική,10 ημέρες πριν,
30,Operations Analyst – Forex – Limassol – AE/RP920506,GRS Recruitment Ltd,,Κύπρος,10 ημέρες πριν,
31,GRADUATE OPPORTUNITIES IN CONSULTING – CORE BUSINESS OPERATI...,Deloitte,"4,0",Αθήνα,Περισσότερες από 30 ημέρες πριν,
32,Content Compliance Analyst VAC-19022M,STAFFMATTERS RECRUITMENT SPECIALISTS,,Κύπρος,10 ημέρες πριν,
33,Risk & Data Analyst – Financial Services – Limassol – AE/RP9...,GRS Recruitment Ltd,,Κύπρος,Περισσότερες από 30 ημέρες πριν,
34,Experienced Economic Research Analyst,PwC,"4,0",Αθήνα,Περισσότερες από 30 ημέρες πριν,
35,Payments and Fraud Analyst,BetPlanet,,Κύπρος,15 ημέρες πριν,
36,JDE Business Analyst,DREW MARINE,,Αττική,12 ημέρες πριν,
37,Web Data Analyst VAC-18918M,STAFFMATTERS RECRUITMENT SPECIALISTS,,Κύπρος,Περισσότερες από 30 ημέρες πριν,
38,Opportunités en IT chez Unisystems - (Europe) H/F/X,UNISYSTEMS-SYSTEMES INFORMATIQ,,Αθήνα,6 ημέρες πριν,
39,Senior Financial Analyst,WIND HELLAS,"3,5",Αττική,Περισσότερες από 30 ημέρες πριν,
41,Market Analyst – Forex – Limassol – AE/ET918889,GRS Recruitment Ltd,,Κύπρος,Περισσότερες από 30 ημέρες πριν,
42,Payments & Reconciliation Analyst – Gaming – Limassol – AE/N...,GRS Recruitment Ltd,,Κύπρος,20 ημέρες πριν,
43,Risk and E commerce Analyst,D&E LAVORO AGENCY,,Κύπρος,25 ημέρες πριν,
44,Business Analyst,AMCO ΑΒΕΕ,,Ελλάδα,Περισσότερες από 30 ημέρες πριν,
45,Technical Support Analyst,Aqurance,,Αθήνα,Περισσότερες από 30 ημέρες πριν,
46,Senior Business Intelligence Analyst,WIND HELLAS,"3,5",Αττική,10 ημέρες πριν,
48,Security Analyst,noris M.I.K.E.,,Θεσσαλονίκη,Περισσότερες από 30 ημέρες πριν,
49,Business Intelligence Analyst,THE PEARLS COLLECTION,,Βουλιαγμένη,Περισσότερες από 30 ημέρες πριν,
50,GROUP PROCUREMENT ANALYST – PROCUREMENT PROJECTS SUPPORT,Adecco,"3,8",Αθήνα,3 ημέρες πριν,
51,R&D Analyst,ONE PHARMA,,Σχηματάρι,24 ημέρες πριν,
52,Sales Deduction Analyst,Human Factor,,Ελλάδα,Περισσότερες από 30 ημέρες πριν,
