,position,company_name,rating,location,date_listed,salary
4,Data Analyst,móveo,,"Cosenza, Calabria",5 giorni fa,
5,Internship Digital Marketing and Data Analyst,Automobili Lamborghini S.p.A.,"4,2",Italia,12 giorni fa,
6,Open Source Intelligence Analyst Junior,Enry's Island Italia S.r.l.,,"Pescara, Abruzzo",27 giorni fa,
7,Junior BI Analyst,Intelligo S.r.l.,,"Roma, Lazio",12 giorni fa,
8,69 - Data Analyst Milano,AXCENT COMPANY,,"Milano, Lombardia",9 giorni fa,
9,Data Analyst,Facile.it,"3,9","Milano, Lombardia",9 giorni fa,
10,JUNIOR BUSINESS ANALYST IN STAGE,Creden SpA,,"Sesto San Giovanni, Lombardia",12 giorni fa,
11,BUSINESS INTELLIGENCE SPECIALIST AND DATA ANALYST (TORINO),Easy Net Srl,,"Torino, Piemonte",9 giorni fa,
12,Product Analyst,Supermercato24,"3,1",Lavoro da casa,21 giorni fa,
13,Internship - Data Analyst and Business Intelligence Speciali...,Instal Italia,,"Firenze, Toscana",Più di 30 giorni fa,
40,ICT DATA ANALYST - rif.137,Unicomm S.r.l.,"4,0","Dueville, Veneto",3 giorni fa,
41,Quantitative Energy Scenario Analyst,Enel,"4,1",Italia,3 giorni fa,
42,QC Analyst,Jazz Pharmaceuticals,,"Villa Guardia, Lombardia",Più di 30 giorni fa,
43,Pricing Database Analyst,The Menarini Group,,Italia,4 giorni fa,
44,JR DATA ANALYST,Banca Sella,"3,9","Milano, Lombardia",Più di 30 giorni fa,
45,Sales Analyst,Zim American Integrated Shipping,,"Genova, Liguria",Più di 30 giorni fa,
46,Market Data Analyst,IRI Italy,,"Milano, Lombardia",Più di 30 giorni fa,
47,Supply Chain Analyst,Ferrero,"4,0","Alba, Piemonte",6 giorni fa,
48,Business Analyst,Grupo Planeta,,"Roma, Lazio",Più di 30 giorni fa,
49,Digital Data Analyst [Data & Web Analytics],WMR Group,,"Padova, Veneto",3 giorni fa,
50,Plant Data Analyst Internship,Bosch Group,"4,1","Villasanta, Lombardia",20 giorni fa,
51,Internship - Data Analyst,Humanitas,"4,1","Rozzano, Lombardia",Più di 30 giorni fa,
52,Credit Analyst,Manpower,"3,8","Assago, Lombardia",20 giorni fa,€1.200 - €1.300 al mese
89,Business Analyst Stage,Datrix Group,,"Milano, Lombardia",Più di 30 giorni fa,
