,position,company_name,rating,location,date_listed,salary
0,Logisitcs Analyst,Poly,,新宿区,30日前,
1,"Financial Analyst, Amazon Logistics (AMZ...",Amazon Japan G.K.,3.6,目黒区,17日前,
2,【Janssen】Cross Therapeutic Area (TA) Ana...,Johnson & Johnson Family of Companies,4.2,千代田区,30日前,
3,Workflow Analyst,Amazon Japan G.K.,3.6,福岡市 博多区,30日前,
4,データアナリスト / Data Analyst,株式会社リンクバル,4.5,中央区 入船,30日前,"年収 600万 ~ 1,200万円"
5,Senior Finance Analyst - FP&A,RB,,品川区,30日前,
6,"Business Analyst, Japan Consumer Finance",Amazon Japan G.K.,3.6,目黒区,30日前,
7,Senior Financial Analyst/ 経営管理シニアアナリスト,Amazon Japan G.K.,3.6,目黒区,30日前,
8,Financial Analyst,Amazon Japan G.K.,3.6,市川市,25日前,
9,"[IT]IT Lead, Business Analyst, Digital P...",Johnson & Johnson Family of Companies,4.2,千代田区,30日前,
10,Market Research Specialist Chapter,MSD,4.2,千代田区,30日前,
11,"Sr Business Intelligence Engineer, JP Co...",Amazon Japan G.K.,3.6,目黒区,30日前,
12,"Financial Analyst, JP GSF (New Business)",Amazon Japan G.K.,3.6,目黒区,30日前,
13,G Suite IT and Data Positions/Work Style...,株式会社ユニクロ,3.5,港区 六本木駅,30日前,
14,データアナリスト(消費財メーカー業界担当)/ Data Analyst,Catalina Marketing Japan K.K.,,港区,30日前,
15,Security Analyst - Secureworks - Japan (...,Dell,4.0,川崎市,30日前,
16,Lead Data Scientist,Boston Consulting Group,4.2,名古屋市,30日前,
17,Training and Exercise Employment Plan An...,Booz Allen Hamilton,,うるま市,6日前,
18,Tax Analyst II,Amazon Japan G.K.,3.6,目黒区,18日前,
19,"【BIJI】System Analyst, IT M&S, Informatio...",Boehringer Ingelheim,,品川区,30日前,
20,"Future Plans Assessment Analyst, Senior",Booz Allen Hamilton,,うるま市,30日前,
21,Sr. Financial Analyst Intern (Class of 2...,Amazon Japan G.K.,3.6,目黒区,30日前,
22,Data Governance Business Analyst,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,東京都 23区,30日前,"年収 1,000万 ~ 1,400万円"
23,"Financial Analyst, JP Customer Service",Amazon Japan G.K.,3.6,目黒区,11日前,月給 61.6万円
24,"Senior Supply Chain Data Analyst, Fulfil...",Amazon Japan G.K.,3.6,目黒区,30日前,
25,Regional Business Process Analyst,Keysight Technologies,,八王子市,30日前,
26,Workflow Manager,Amazon Japan G.K.,3.6,目黒区,30日前,
27,Financial Analyst - JP Amazon Advertisin...,Amazon Japan G.K.,3.6,目黒区,30日前,
28,菜鸟-Country Customs Operation Manager,阿里巴巴集团,,山鹿市 杉,6日前,
29,Senior Business Analyst,Amazon Japan G.K.,3.6,目黒区,30日前,
30,"Head of Data Science, Japan Consumer Inn...",Amazon Japan G.K.,3.6,目黒区,30日前,
31,Finance Analyst with Fast Growing Americ...,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,港区,30日前,
32,シニアデータアナリスト(小売業界担当)/ Senior Data Analyst,Catalina Marketing Japan K.K.,,港区,30日前,
33,Payroll Analyst,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,東京都 23区,30日前,
34,"Senior Financial Analyst, FP&A JP Operat...",Amazon Japan G.K.,3.6,目黒区,30日前,
35,Senior Capacity Planning Analyst,Amazon Japan G.K.,3.6,目黒区,30日前,
36,"Program Manager, Deal Events CX",Amazon Japan G.K.,3.6,目黒区,4日前,
37,Cainiao-Country Operation Manager (Brazi...,阿里巴巴集团,,早川町 保,30日前,
38,Cybersecurity Consultant Consulting Engi...,ESCRYPT GmbH,,横浜市,30日前,
39,"Senior Financial Analyst, Yield - JP Ama...",Amazon Japan G.K.,3.6,目黒区,30日前,
40,[1年経験歓迎] Data Analyst,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,東京都 23区,30日前,年収 400万 ~ 800万円
41,"財務・経営企画/ Financial Analyst, Transportati...",Amazon Japan G.K.,3.6,目黒区,11日前,
42,2021 新卒採用 都市銀行・旧長期系銀行,株式会社あおぞら銀行,,日本,30日前,月給 20.4万 ~ 25.0万円
43,クレジット・アナリスト/ Credit Analyst,ビー・エム・ダブリュー・ジャパン・ファイナンス株式会社,,千代田区 東京駅,30日前,
44,Sr. Financial Analyst (Class of 2020),Amazon Japan G.K.,3.6,目黒区,30日前,
45,[Junior 大歓迎] BI Specialist data analyst,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,東京都 23区,10日前,年収 400万 ~ 650万円
46,菜鸟-Country Operation Manager - US,阿里巴巴集团,,山鹿市 杉,30日前,
47,Sr. Business Intelligence Engineer,Amazon Japan G.K.,3.6,目黒区,16日前,
48,財務・コントローラー,医療機器会社,,東京都 23区,8日前,年収 750万 ~ 899万円
49,Fluent Japanese Data Analyst,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,東京都 23区,30日前,
50,DCM Junior Analyst,マイケル・ペイジ・インターナショナル・ジャパン株式会社,,東京都 23区,30日前,
