,position,company_name,rating,location,date_listed,salary
0,Data analyst,네오위즈,,대한민국,5일 전,
1,Data Analyst,Axiologic Solutions,,서울,30+일 전,
2,AP/AR Analyst I,"Diversey, Inc.",,서울,방금 게시됨,
3,2020 Market Data Analyst - Seoul (Korean...,Bloomberg,,서울,30+일 전,
4,Associate data research analyst,Morningstar,,서울,30+일 전,
5,Intelligence All-Source Analyst,CAE Inc.,,경기도 평택,30+일 전,
6,CIB - Equity Research - Research Analyst...,"JPMorgan Chase Bank, N.A.",,서울,3일 전,
7,[해외취업] 캘리포니아에 위치한 사진장비공급사 #L사 Data Analy...,IGE,,대한민국,오늘,"연봉 34,300,000원"
9,Data Analyst - Machine Learning,펍지,,서울 서초구,6일 전,
10,Healthcare Real World Data Analyst 담당자,IQVIA,,서울,11일 전,
11,[허브클랜] 비즈니스 데이터 분석가 (Business Data Analy...,카카오페이,,성남 분당구,18일 전,
12,Data Analyst,레이니스트,,서울,30+일 전,
15,[머니클랜] 비즈니스 데이터 분석가 (Business Data Analy...,카카오페이,,성남 분당구,18일 전,
17,[Hospitality Solution실] Data Analyst,야놀자,,서울 강남구,13일 전,
21,Data Scientist,Boston Consulting Group,4.2,서울,30+일 전,
32,Security Operations Center Analyst,Booz Allen Hamilton,,경기도 평택,26일 전,
42,Finance & Accounting Analyst,Wells Fargo,,서울,27일 전,
43,Research Analyst,레이니스트,,서울,30+일 전,
44,[여의도] 외국계 대기업 Marketing Assistant,잡앤피플,,서울특별시,30+일 전,
46,IT Business solution analyst (대리-과장급),바이커리어,,서울 강남구,3일 전,
47,카카오톡 안티어뷰징 위한 데이터 사이언스/엔지니어링 전문가,카카오,4.2,성남 판교역,30+일 전,
48,"Mgr, Commercial Excellence",Baxter,3.9,서울,30+일 전,
49,[PC/Mobile] Data Analyst,PUBG,,서울,30+일 전,
70,"Mgr, Commercial Excellence",Baxter International,3.9,서울,30+일 전,
73,Sample Collector/Sample Analyst,Battelle,,대구,30+일 전,
77,Cross Border Ecommerce - Business Intell...,Shopee,,서울,30+일 전,
