,position,company_name,rating,location,date_listed,salary
0,Junior Data Analyst,Mifarma Farmacia Online,,"Albacete, Albacete provincia",hace 16 días,
1,Paid Media & Web Analyst Account Manager,DSD Planning Center,,"Madrid, Madrid provincia",hace 13 días,26.000€ - 30.000€ al año
2,Transcriber / Data Analyst,TransPerfect Translations Inc.,,,Hace más de 30 días,
3,IT Business Data Analyst,Grupo Constant Selección,"3,0",,Hace más de 30 días,
4,Junior Data Analyst en Aglaia Consulting,Aglaia,,,hace 4 días,
5,Data Analyst Intern,Criteo,"4,0",,Hace más de 30 días,
6,Product Data Analyst,Adevinta in Spain,,,Recién publicado,
7,Insights Analyst,Cimpress/Vistaprint,,,hace 2 días,
8,Data Analyst Intern (6 months from July),Criteo,"4,0",,hace 19 días,
9,Data Engineer,HelloRFQ,,,hace 6 días,
10,Data Analyst,Tangelo Games,,,Hace más de 30 días,
11,Data Analyst,Voicemod,,,hace 10 días,
12,Data Analyst,Qustodio,,,hace 27 días,
13,Data Analyst,Softonic,"3,4",,hace 17 días,
14,Snr Data Analyst – PepsiCo Global Template,PepsiCo,"3,8",,hace 13 días,
15,Junior Data Analyst,Mifarma Farmacia Online,,"Albacete, Albacete provincia",hace 16 días,
16,Paid Media & Web Analyst Account Manager,DSD Planning Center,,"Madrid, Madrid provincia",hace 13 días,26.000€ - 30.000€ al año
17,Data Analyst,Walters People,"3,1",,Hace más de 30 días,
18,Head of CRM- Based in Zaragoza Spain,Panserve Limited,,,hace 11 días,
19,Data Analyst,MOP Solutions,,,Hace más de 30 días,
20,Cyber Security Analyst,Verisk,,,hace 11 días,
21,Customer Success Analyst,Aktana,,,hace 11 días,
22,Quality Analyst,Atos,"3,5",,hace 5 días,
23,Cyber Intelligence Analyst - SGT,Santander,"3,6",,hace 6 días,
24,RI-PO-18770 - Risk Analyst,hdb financial services,,,hace 9 días,
25,Revenue Analyst,Domestika,,,hace 6 días,
26,Internship Master Data Analyst,Siemens Gamesa Renewable Energy,"3,8",,Hace más de 30 días,
27,UTS Business Analyst,Unisys,"3,7",,Hace más de 30 días,
28,Data Engineer/ Data Analyst,Hays,"3,6",,hace 4 días,
29,Junior Data Analyst,Fever,"3,6",,Hace más de 30 días,
30,Customer Support Consultant in Tech,SCRM,,,hace 18 días,
31,CRM & Data Analyst (Internship),G&M Fashion Career SL,,,Hace más de 30 días,
32,Data Analyst - Openbank Data Science (Temporary position),Santander,"3,6",,hace 5 días,
33,Lead Analyst,Cimpress/Vistaprint,,,hace 4 días,
34,Data Analyst,Hays,"3,6",,hace 4 días,
35,Sr. Finance analyst FP&A,Ingram Micro Cloud,,,hace 13 días,
36,Board Certified Behavior Analyst,"Catapult Learning, LLC",,,hace 14 días,
37,Intership Analyst Engineer (Big Data Analyst),Siemens Gamesa Renewable Energy,"3,8",,hace 27 días,
38,Madrid Research Analyst - 2020,"The Brattle Group, Inc.",,,Hace más de 30 días,
39,Product Analyst - Search & Discovery,Adevinta,,,Hace más de 30 días,
40,Data Analyst,Cabify,"3,8",,Hace más de 30 días,
41,Master Data Analyst,Tech Data Corporation,"3,6",,Hace más de 30 días,
42,Financial Systems & Reporting Analyst,Merkle S.L.,,,hace 17 días,
43,Financial Accountant Analyst,"Rijk Zwaan Ibérica, SA",,,hace 16 días,
44,Product Data Analyst - SAP/R3 SAP/S4 HANA,ITech Consult,,,hace 6 días,
45,BI Data Analyst and Data Visualization,Hays,"3,6",,Hace más de 30 días,
46,VENDOR ANALYST-T&O,Santander,"3,6",,Recién publicado,
47,Product Data Analyst,Entravision,,,Hace más de 30 días,
48,SOC Analyst,Citrix,,,Hace más de 30 días,
49,Paid Media Analyst - PAGOFX,Santander,"3,6",,Hace más de 30 días,
50,Business Analyst,Hays,"3,6",,hace 5 días,
51,FP&A Analyst,Tech Data Corporation,"3,6",,Hace más de 30 días,
52,Data Analyst (Cliente final),Page Personnel España,"2,6",,Hace más de 30 días,
53,"Openbank: ""Digital Customer Experience Analyst""",Santander,"3,6",,Hace más de 30 días,
54,Data Analyst / Analista de datos - Data Science,Quental Technologies S.L.,"4,0",,Hace más de 30 días,33.000€ al año
55,Architecture Analyst in web/open technologies - Málaga,Accenture,"4,0",,Hace más de 30 días,
56,Financial Analyst,Amazon EU SARL (Spain Branch),"3,6",,hace 5 días,
57,Business Analyst,NGA Human Resources,"3,5",,Hace más de 30 días,
58,iOS Programmer Analyst,Opentrends,,,Hace más de 30 días,
59,Data Analyst,ARIAD,,,Hace más de 30 días,
60,Junior Business Intelligence Analyst,Fever,"3,6",,Hace más de 30 días,
61,Data Governance Manager,Cimpress/Vistaprint,,,hace 18 días,
62,Transportation Performance Analyst,"Amazon Road Transport Spain, S","3,6",,hace 2 días,
63,Junior Research Analyst - Electric Power & Natural Gas,McKinsey & Company,"4,3",,Hace más de 30 días,
64,Product Analyst,Fever,"3,6",,Hace más de 30 días,
65,Vendor Accounts Receivable Analyst,Tech Data Corporation,"3,6",,hace 10 días,
66,Sr. Finance Analyst,Amazon EU SARL (Spain Branch),"3,6",,hace 5 días,
67,Back-end Web Developer,Netzstrategen,,"Barcelona, Barcelona provincia",Hace más de 30 días,36.000€ - 52.000€ al año
68,WordPress Developer,netzstrategen,,"Barcelona, Barcelona provincia",Hace más de 30 días,
69,Information Technology – Business Analyst Internship (M/F),Procter & Gamble,"4,2","Madrid, Madrid provincia",hace 2 días,
70,Back-end Web Developer,Netzstrategen,,"Barcelona, Barcelona provincia",Hace más de 30 días,36.000€ - 52.000€ al año
71,Mobile App Developer (Xamarin Engineer),Sage,"3,5","Barcelona, Barcelona provincia",Hace más de 30 días,
72,Agile Coach,Cimpress/Vistaprint,,,hace 10 días,
73,DATA OFFICE - Data Science Business Analyst,BNP Paribas,"3,9",,hace 9 días,
74,STRATEGY & ANALYTICS (BRC),Y Group,,,Hace más de 30 días,
75,Quantitative Analyst,Robert Walters,"3,6",,hace 3 días,
76,Senior Customer Impact Analyst,Aktana,,,Hace más de 30 días,
77,Data analyst (H/M),Eurofirms,"3,8",,Hace más de 30 días,
78,"Assoc. Analyst, Accounting - Trainee",Edwards Lifesciences,"4,0",,Hace más de 30 días,
79,Global HR Compensation Analyst,Markem-Imaje,"3,6",,hace 20 días,
80,E-Commerce / Online Sales - FMCG Nutraceutical,Minerva Research Labs / Gold Collagen,,,Hace más de 30 días,20.000€ - 32.000€ al año
81,Process & QA Analyst,eDreams ODIGEO,"3,6",,Hace más de 30 días,
82,"Data Analyst (Python, SQL)",Melza Consulting,,,hace 24 días,
83,"Analyst, Supply Chain Planning South Europe",CHEP,"3,5",,hace 18 días,
84,Business Analyst,SQLI Spain,,,Hace más de 30 días,
85,Senior Data Scientist,SCRM,,,Hace más de 30 días,
86,Bid Support Analyst,Tech Data Corporation,"3,6",,Hace más de 30 días,
87,Senior Data Business & BI Analyst,Page Personnel España,"2,6",,Hace más de 30 días,
88,RCS FP&A Analyst,Bombardier,"3,8",,hace 10 días,
89,Data Analyst para Proyectos de Machine Learning,Goal Systems,,,Hace más de 30 días,
90,"Data Analyst, German speaker (Scientific background)",IQVIA,"3,8",,hace 11 días,
91,Digital Analyst (Web analytics / BI / SEO),Visca Web,,,Hace más de 30 días,
92,Mobile Analyst III,DMI,,,Hace más de 30 días,
93,Vendor Reporting Analyst,TechData,"3,6",,Hace más de 30 días,
94,FP&A Analyst Spain & Portugal,AIG,"3,7",,hace 12 días,
95,Business Analyst,Neovantas,,,Hace más de 30 días,
96,IT Business Analyst,Revlon,"3,6",,Hace más de 30 días,
97,Business Analyst - 2020,Roland Berger,,,Hace más de 30 días,
98,Business Analyst - Gilead,IQVIA,"3,8",,hace 11 días,
99,Data Load Analyst,Keytree,,,Hace más de 30 días,
100,Nestle Global Digital Hub - Consumer Identity and Account Ma...,Nestle,"4,1",,hace 6 días,
101,Business Analyst - SC Customer Service for 360 Visibility,Nestle,"4,1",,hace 18 días,
102,ITS Purchasing Analyst,Sanofi,"4,1",,Hace más de 30 días,
103,Revenue Business Analyst,eDreams ODIGEO,"3,6",,Hace más de 30 días,
104,Information Technology – Business Analyst Internship (M/F),Procter & Gamble,"4,2",,Hace más de 30 días,
105,Business Analyst,Produban Servicios Informáticos Generales,,,Hace más de 30 días,
106,Data Analyst,Verse Technologies Inc,,,hace 27 días,
107,Junior Growth Analyst,Fever,"3,6",,Hace más de 30 días,
108,Big Data Analyst,Exceltic,"3,0",,Hace más de 30 días,
109,Senior Enginer Big Data,Deutsche Bank,"3,8",,Hace más de 30 días,
110,Marketplace and Process Analyst,Tech Data Corporation,"3,6",,Hace más de 30 días,
111,Operational Due Diligence Senior Analyst,Santander,"3,6",,hace 12 días,
112,VAT Analyst,Page Personnel España,"2,6",,hace 24 días,
113,Analyst Intern- Group Growth Department,Interbrand,"3,3",,Hace más de 30 días,
114,PaaS Platform Engineer,Santander,"3,6",,hace 18 días,
115,Backup & DR Platform Engineer,Santander,"3,6",,hace 3 días,
116,BI Analyst,eDreams ODIGEO,"3,6",,Hace más de 30 días,
117,DATA ENGINEER SPARK + HADOOP,Sicpa,,,hace 24 días,
118,Junior Business Analyst (Engineers),Fever,"3,6",,Hace más de 30 días,
119,Sourcing Data Analyst,Hays,"3,6",,Hace más de 30 días,
120,Sourcing Specialist Balance of Plant,Acciona,"4,0",,Hace más de 30 días,
121,Senior Accounting Analyst,Allianz España,"3,9",,Hace más de 30 días,
122,WordPress Developer,netzstrategen,,"Barcelona, Barcelona provincia",Hace más de 30 días,
123,Junior Data Analyst,Mifarma Farmacia Online,,"Albacete, Albacete provincia",hace 16 días,
124,Information Technology – Business Analyst Internship (M/F),Procter & Gamble,"4,2","Madrid, Madrid provincia",hace 2 días,
125,Paid Media & Web Analyst Account Manager,DSD Planning Center,,"Madrid, Madrid provincia",hace 13 días,26.000€ - 30.000€ al año
126,Back-end Web Developer,Netzstrategen,,"Barcelona, Barcelona provincia",Hace más de 30 días,36.000€ - 52.000€ al año
127,WordPress Developer,netzstrategen,,"Barcelona, Barcelona provincia",Hace más de 30 días,
128,Mobile Analyst III,DMI,,,Hace más de 30 días,
129,Central Planning Analyst,CHEP,"3,5",,hace 25 días,
130,Lead Country Analyst (France),Cimpress/Vistaprint,,,hace 25 días,
131,Data Analyst (h/m),Page Personnel España,"2,6",,Hace más de 30 días,
132,Senior Pricing Data Solutions Analyst,Liberty Seguros,"4,4",,hace 4 días,
133,Data Platform Engineer,Glovo,"3,1",,Hace más de 30 días,
