,position,company_name,rating,location,date_listed,salary
3,Data Analyst,Billogram,,Stockholm,11 dagar sedan,
4,Data analyst,FirstVet,,Stockholm,9 dagar sedan,
5,Data Analyst Excel Specialist,Digital Agency Nordic,,Stockholm,Mer än 30 dagar sedan,
6,Data Scientist / Analyst,Cubane Solutions AB,,Stockholm,2 dagar sedan,
7,Data Scientist / Analyst,Raft Consulting,,Stockholm,3 dagar sedan,
8,Data Scientist / Analyst,ProData Consult,,Stockholm,3 dagar sedan,
9,"Data Analyst, Remote",Shaya Solutions AB,,Sverige,4 dagar sedan,
10,Data Analyst,BODYPACK,,Kode,17 dagar sedan,
11,Junior data analyst,mod:group,,Stockholm,Mer än 30 dagar sedan,
12,Strategic Customer Billing Analyst,Google,,Stockholm,18 dagar sedan,
13,Data Analyst,Digital Agency Nordic,,Stockholm,Mer än 30 dagar sedan,
14,Game Data Analyst,Fatshark,,Stockholm,Mer än 30 dagar sedan,
15,Product Stability Analyst,Cepheid,"3,6",Solna,5 dagar sedan,
16,Financial Analyst Denmark,Bristol-Myers Squibb,"4,2",Solna,5 dagar sedan,
17,Product Data Analyst,MatHem i Sverige,"2,8",Stockholm,Mer än 30 dagar sedan,
18,Sustainability Analyst,Northvolt,,Stockholm,Mer än 30 dagar sedan,
19,Quality Process Analyst (Swedish speaker),Klarna,"3,8",Stockholm,4 dagar sedan,
20,Marketing Analyst,NA-KD,,Göteborg,6 dagar sedan,
21,QlikView specialist / Data Analyst - Region Skåne (3865),SwCG Swedish Consulting Group,,Malmö,Mer än 30 dagar sedan,
22,Billing Analyst (Swedish Speaking),Cubane Solutions AB,,Stockholm,12 dagar sedan,
23,AM Gaming Analyst Malta,Trustly,,Stockholm,26 dagar sedan,
24,Data Engineer,Billogram,,Stockholm,11 dagar sedan,
25,Data Steward Scoring and Data,Swedbank,"4,2",Umeå,9 dagar sedan,
26,Customer Data Analyst till ICA Kundinsikt & Analystjänster,ICA Gruppen AB,"4,0",Solna,10 dagar sedan,
27,Product Analyst,Star Stable,,Stockholm,12 dagar sedan,
28,Operational Analyst,Intertek,,Stockholm,5 dagar sedan,
29,Data Analyst till Analytics - ICA Sverige,ICA Gruppen AB,"4,0",Solna,11 dagar sedan,
30,Senior Data Analyst,iZettle,,Stockholm,5 dagar sedan,
31,CRM Analyst,ATG,,Stockholm,4 dagar sedan,
32,Product Analyst,Kry,"4,5",Stockholm,Mer än 30 dagar sedan,
33,Business Analyst / BI Controller,Conscia,,Sverige,Mer än 30 dagar sedan,
34,Product Stability Analyst,Cepheid AB,"3,6",Stockholm,4 dagar sedan,
35,Business Analyst with Office 365,Unisystems,,Sverige,Mer än 30 dagar sedan,
36,Digital Analyst,Trickle Distribution,,Stockholm,Mer än 30 dagar sedan,
37,Lead Patent Analyst,Cytiva,,Uppsala,18 dagar sedan,
38,Senior Data Analyst,Electronic Arts,,Stockholm,Mer än 30 dagar sedan,
39,Sr. Product Data Analyst,MatHem eng,,Stockholm,Mer än 30 dagar sedan,
40,Price Analyst Assistant (Budapest),ABACUS MEDICINE,,Åre,Mer än 30 dagar sedan,
41,Business Analyst,Avalanche Studios,,Stockholm,Mer än 30 dagar sedan,
43,ESG Corporate Ratings Analyst,Institutional Shareholder Services Inc,,Stockholm,Mer än 30 dagar sedan,
44,Security Analyst,NTT,"3,5",Göteborg,12 dagar sedan,
45,Digital Analyst,Bontouch,,Stockholm,Mer än 30 dagar sedan,
46,ERP Analyst,Northvolt,,Stockholm,Mer än 30 dagar sedan,
47,Data Scientist,Airmee,,Stockholm,Mer än 30 dagar sedan,
48,Sr QA Analyst,Cepheid,"3,6",Solna,11 dagar sedan,
49,Platform data analyst at Polestar,Ants,,Göteborg,2 dagar sedan,
50,Data Engineer med fokus på GCP,Sogeti,"3,4",Malmö,Mer än 30 dagar sedan,
120,Data scientist to client in central Stockholm,Randstad AB,"3,7",,3 dagar sedan,
121,Data scientist to client in central Stockholm,Randstad,"3,7",,2 dagar sedan,
122,"Securitas Group, Security Services Europe söker Procurement...",ValueOne,,,Mer än 30 dagar sedan,
