,position,company_name,rating,location,date_listed,salary
2,Business Analyst & Engineer SAP BW (w/m/d) Teilzeit/Vollzeit,Helvetia Versicherungen,3.9,,vor 18 Tagen,
3,Data Analyst,Acpqualife Suisse,,"Genf, GE",vor 11 Tagen,
4,Business Senior Analyst – Data Sourcing,CRISIL Limited,,"Zürich, ZH",vor 4 Tagen,CHF 492 - CHF 644 pro Tag
5,Business Analyst / Data Analyst,Infoplus Technologies,,"Basel, BS",vor 5 Tagen,
6,Data Warehouse Analyst (w/m),St.Galler Kantonalbank,,"St. Gallen, SG",vor 17 Tagen,
7,"Graduate Talent Program 2020, Sales Data Analyst",UBS,3.8,"Zürich, ZH",vor 3 Tagen,
8,Data Analyst - DWH Specialist,Fincons Spa,,"Lugano, TI",vor 9 Tagen,
9,IT Business Analyst,Infoplus Technologies,,"Basel, BS",vor 26 Tagen,
10,RWA Analyst,CRISIL Limited,,"Zürich, ZH",vor 16 Tagen,
11,Data Analyst (f/m) 80-100%,Ricardo,,"Zug, ZG",Vor mehr als 30 Tagen,
12,Private Equity Analyst Program - Primary Team (Venture Capit...,LGT,,Schweiz,Vor mehr als 30 Tagen,
13,Business Development Analyst Intern,StepStone Group LP,,"Zürich, ZH",Vor mehr als 30 Tagen,
14,Asset Analyst neue erneuerbareEnergien 100% (m/w),WinJi,,"Zürich, ZH",vor 12 Tagen,
15,Financial Analyst,Abbott Laboratories,4.0,"Basel, BS",vor 12 Tagen,
16,Marketing Data Analyst (m/w),Touring Club Suisse,3.5,"Schönbühl, BE",Vor mehr als 30 Tagen,
17,"Cyber Intelligence Analyst, Trust and Safety",Google,4.3,"Zürich, ZH",vor 17 Tagen,
18,Datawarehouse Analyst / Data Engineer,Cembra Money Bank,3.0,"Zürich, ZH",vor 17 Tagen,
19,Data analyst,Octal,,"Saint Saphorin, VD",Vor mehr als 30 Tagen,
20,Planning Analyst,Johnson & Johnson Family of Companies,4.2,"Zuchwil, SO",Vor mehr als 30 Tagen,
21,Optical Element Data Analyst (m/f/d),ams,,"Rüschlikon, ZH",Vor mehr als 30 Tagen,
22,Data Analyst (Junior/Mid-level),Partners Group,3.3,"Zug, ZG",Vor mehr als 30 Tagen,
23,Digital Data Analyst 100% (w/m),CH Media Holding AG,,"Aarau, AG",vor 18 Tagen,
24,HR Data Analyst / HR Controller (w/m) 80–100%,TX Group,,"Zürich, ZH",vor 6 Tagen,
25,Associate Data Scientist - Information Technology (m/f),Procter & Gamble,4.2,"Genf, GE",Vor mehr als 30 Tagen,
26,Data Consultant,Onedot,,"Schlieren, ZH",vor 1 Tag,
27,Praktikanten oder Werkstudenten Data Mining (m/w),LUXENDO GmbH,,"Fällanden, ZH",Gerade geschaltet,
28,Portfolio Reporting analyst,Syngenta,4.1,"Basel, BS",vor 12 Tagen,
29,Financial Analyst,Eastman,,"Zug, ZG",vor 13 Tagen,
30,Junior Business Analyst Data Quality Control,Credit Suisse,3.9,"Zürich, ZH",vor 8 Tagen,
31,Internship Global Master Data Analyst,Lonza,3.5,"Visp, VS",vor 19 Tagen,
32,Junior BI Analyst EMEA,Align Technology,,"Rotkreuz, ZG",Vor mehr als 30 Tagen,
33,Business Intelligence Analyst,Resideo,,"Nyon, VD",vor 10 Tagen,
34,Power Analyst,AXPO,3.3,"Baden, AG",vor 28 Tagen,
35,Consultant(e) / Ingénieur(e) Data Analyst,Sigma,5.0,"Genf, GE",Vor mehr als 30 Tagen,
36,Business Analyst – Pharma experience mandatory,Tech Mahindra BPS,,"Basel, BL",vor 19 Tagen,
37,International Senior Client Services Analyst,IQVIA,3.8,"Rotkreuz, ZG",vor 11 Tagen,
38,Senior Petroleum Analyst,AXPO,3.3,"Baden, AG",vor 26 Tagen,
39,Freight Analyst,Koch Supply & Trading,,"Genf, GE",vor 10 Tagen,
40,Junior Data Analyst (m/w),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
41,Market Analyst (50–100%),CREALOGIX,,"Zürich, ZH",vor 7 Tagen,
42,Project Data Analyst / Controller,Swisscontact,,"Zürich, ZH",Vor mehr als 30 Tagen,
43,SEO Data Analyst f/m/d,Scout24 Schweiz AG,,"Flamatt, FR",Vor mehr als 30 Tagen,
44,Operational Compliance Analyst Intern,Total,4.0,"Genf, GE",Vor mehr als 30 Tagen,
45,Computational Biologist for Biomedicine,Universität Basel,4.0,"Basel, BS",Heute,
46,Financial Crimes Technology Data Modeler / Analyst,UBS,3.8,"Zürich, ZH",vor 4 Tagen,
47,Innovation Analyst Internship (m/f) 100%,Implenia Schweiz AG,3.7,"Dietlikon, ZH",vor 11 Tagen,
48,Data Delivery Analyst,Credit Suisse,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
49,Data Engineer,Onedot,,"Schlieren, ZH",vor 6 Tagen,
50,Data Privacy Analyst,Swisslinx,4.0,"Zug, ZG",vor 16 Tagen,
51,Corporate Finance Analyst / Associate,Advanon,,"Zürich, ZH",vor 4 Tagen,
52,"Derivatives Middle Office Analyst, Internship",Total,4.0,"Genf, GE",vor 10 Tagen,
53,Digital Biomarker Data Processing Solutions Architect,Roche,4.2,,Vor mehr als 30 Tagen,
62,Graduate Artificial Intelligence and Analytics (Data Enginee...,Cognizant,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
63,Business analyst,Corteva Agriscience,,"Versoix, GE",Vor mehr als 30 Tagen,
64,IT Business Analyst Client Data Management (w/m),LGT,,"Bendern, LI",Vor mehr als 30 Tagen,
65,Business Analyst,Beekeeper,,"Zürich, ZH",vor 10 Tagen,
66,Business Support Analyst,Barclays,4.0,"Genf, GE",vor 9 Tagen,
67,ESG Analyst,S&P Global,,"Zürich, ZH",Vor mehr als 30 Tagen,
68,Field Data Analyst (Aussendienst),Voigt Industrie Service AG,3.5,"Niederbipp, BE",Vor mehr als 30 Tagen,
69,CRM IT Analyst with Programming Skills,Ermenegildo Zegna,4.2,"Stabio, TI",vor 18 Tagen,
70,"Portfolio Analyst (m/f/d) at Allianz SE Reinsurance, Zurich",Allianz SE Reinsurance,3.9,"Zürich, ZH",vor 13 Tagen,
71,BI Analyst (temporary assignment 6,Sophia Genetics,,"Lausanne, VD",Vor mehr als 30 Tagen,
72,Quantitative Treasury Analyst,Swissquote,3.6,"Gland, VD",Vor mehr als 30 Tagen,
73,DWH EXPERT,Vicara Infotech Group AG,,Schweiz,Vor mehr als 30 Tagen,
74,"Data Analyst, Data Warehouse (SQL, Excel)",Esprit Personalberatung,,"Bezirk Bülach, ZH",Vor mehr als 30 Tagen,
75,Procurement Analyst,Amcor,,"Zürich, ZH",Vor mehr als 30 Tagen,
76,GIA - Governance & Operational Excellence - Operations Analy...,Swiss Re,4.0,Schweiz,vor 5 Tagen,
77,Business Analyst Intern,L'OCCITANE en provence,3.8,"Genf, GE",vor 17 Tagen,
78,"BI/CRM Analyst, EMEA",Align Technology,,"Rotkreuz, ZG",Vor mehr als 30 Tagen,
93,Investment Advisor,AMP Partners,,"Genf, GE",Vor mehr als 30 Tagen,
94,"Regulatory Reporting Analyst, temporary",UBS,3.8,"Opfikon, ZH",vor 20 Tagen,
95,Cloud BI and Data Warehouse Specialist,Vicara Infotech Group AG,,Schweiz,Vor mehr als 30 Tagen,
96,Data Analyst (m/f) - Trading and financial data,Michael Page,3.5,"Nyon, VD",Vor mehr als 30 Tagen,
