,position,company_name,rating,location,date_listed,salary
0,Data Analyst,Jobsugoi.com,,Thailand,26 วันที่ผ่านมา,
1,CRM Data Analyst,Central & Matsumoto Kiyoshi Limited,,Thailand,30+ วันที่ผ่านมา,"25,000 - 35,000 บาทต่อเดือน"
2,Business Analyst,"NTT DATA (Thailand) Co., Ltd.",,Thailand,30+ วันที่ผ่านมา,
3,"Data Analyst, Thailand",Yara,,กรุงเทพมหานคร,10 วันที่ผ่านมา,
4,data analyst,บริษัท ลีโอวูด อินเตอร์เทรด จำกัด,,"พระโขนง, กรุงเทพมหานคร",6 วันที่ผ่านมา,"18,000 - 23,000 บาทต่อเดือน"
5,Data Analytic Officer,Siam Cement PCL (SCG),,Thailand,30+ วันที่ผ่านมา,
6,Data Analyst,บริษัท ออลล์ นาวลอจิสติกส์ จากัด,,"สาทร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
7,Data Analyst,LINE,,"สาทร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
8,Business Performance and Data Analyst - E-Business,Nestle,4.1,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
9,Humanitarian Data Analyst – COVID 19,Internews,,Thailand,30+ วันที่ผ่านมา,
10,Data Marketing Analyst,บริษัท สินสงวนแอนด์ซันส์ จำกัด,,สมุทรปราการ,6 วันที่ผ่านมา,"15,000 - 25,000 บาทต่อเดือน"
11,Business Data Analyst,BD,,กรุงเทพมหานคร,3 วันที่ผ่านมา,
12,Investment Analyst,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),,"ปทุมวัน, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
13,Data Analyst / Data Scientist,Business Online PCL (BOL),,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
14,Data Analyst,Hill+Knowlton Strategies,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
15,data analyst,บริษัท โรงพยาบาลสัตว์ทองหล่อ จำกัด,,"พระโขนง, กรุงเทพมหานคร",30+ วันที่ผ่านมา,"19,000 - 30,000 บาทต่อเดือน"
16,Infrastructure & Data Center Support Analyst,"JPMorgan Chase Bank, N.A.",,กรุงเทพมหานคร,3 วันที่ผ่านมา,
17,Analyst - Investment Banking,Prime Street Group,,กรุงเทพมหานคร,28 วันที่ผ่านมา,
18,"CIB - Equity Research - Research Analyst (Thai, Banks) - Ass...","JPMorgan Chase Bank, N.A.",,กรุงเทพมหานคร,3 วันที่ผ่านมา,
19,Data Visualization Analyst,Dentsu Aegis Network,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
20,"2020 APAC Graduate Programme - Global Markets, Sales Analyst",BNP Paribas,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
21,Production Analyst,FANATICS (THAILAND) LIMITED,,"ปทุมวัน, กรุงเทพมหานคร",5 วันที่ผ่านมา,
22,logistics analyst executive ประจำสาขาบางนา ตราด กม.19,บริษัท ดีเอชแอล ซัพพลายเชน (ประเทศไทย) จำกัด,,"บางพลี, สมุทรปราการ",30+ วันที่ผ่านมา,
23,"Product, Associate (Business Analyst)",Pomelo Fashion,,กรุงเทพมหานคร,7 วันที่ผ่านมา,
24,logistics analyst,บริษัท ดีเอชแอล ซัพพลายเชน (ประเทศไทย) จำกัด,,"วังน้อย, พระนครศรีอยุธยา",4 วันที่ผ่านมา,
25,Operation & Data Analyst,บริษัท ซิลลิค ฟาร์มา จำกัด / Zuellig Pharma Ltd.,,"คลองเตย, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
26,IT Application Analyst,Celestica,3.9,"แหลมฉบัง, ชลบุรี",วันนี้,
27,data analyst,วิสดอม มันนี่ จำกัด,,"ห้วยขวาง, กรุงเทพมหานคร",10 วันที่ผ่านมา,"20,000 - 40,000 บาทต่อเดือน"
28,"Production Operation Analyst, Associates",Pomelo Fashion,,Thailand,30+ วันที่ผ่านมา,
29,Digital Solutions Analyst,earlycareers-dentsuaegisnetwork,,กรุงเทพมหานคร,วันนี้,
30,Digital Solutions Analyst,Dentsu Aegis Network,,กรุงเทพมหานคร,วันนี้,
31,Production Analyst,Fanatics Inc.,,Thailand,11 วันที่ผ่านมา,
32,Data Visualization Analyst,earlycareers-dentsuaegisnetwork,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
33,"Senior Credit Risk Analyst, Thailand",Grab Taxi,3.8,กรุงเทพมหานคร,เพิ่งประกาศ,
34,Product Developer,Fanatics Inc.,,Thailand,11 วันที่ผ่านมา,
35,"Product, Associate",Pomelo Fashion,,Thailand,30+ วันที่ผ่านมา,
36,Investment Analyst,PromptBis,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
37,Financial Analyst,Jet Asia,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
38,Marketing Analyst,"A.P.Honda Co.,Ltd",,สมุทรปราการ,30+ วันที่ผ่านมา,
39,Data Engineer (Analyst to Manager),Accenture,4.0,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
40,data analyst,"Elabram Systems Co., Ltd .",,"พญาไท, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
41,Communications and Outreach Analyst,UNOPS,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
42,DATA ANALYST,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
43,เจ้าหน้าที่จัดทำ และวิเคราะห์ข้อมูล Strategic data Control &...,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
44,data analyst,"VC Fabric Co.,Ltd",,"สวนหลวง, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
45,Strategic Finance Associate,Pomelo Fashion,,กรุงเทพมหานคร,7 วันที่ผ่านมา,
46,Junior Workflow Analyst (Input Operations),Nielsen,3.8,กรุงเทพมหานคร,23 วันที่ผ่านมา,
47,Voice of Customer,Lazada,3.8,Thailand,14 วันที่ผ่านมา,
48,Data Analyst,บริษัท ออมนี่เรส จำกัด,,กรุงเทพมหานคร,3 วันที่ผ่านมา,
49,data analyst,"CDS Solution Corp.,Ltd.",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
50,Digital Marketing Analyst (Training provided),"Marketyze Co., Ltd.",,กรุงเทพมหานคร,วันนี้,
51,Financial Analyst,Aviagen,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
52,Business Investment Analyst,บริษัท ธนาคารกรุงเทพ จำกัด (มหาชน),,"สาทร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
53,Assistant Data Analyst,บริษัท โปรไลแอนซ์ จำกัด,,ลำปาง,21 วันที่ผ่านมา,
54,Staff Analyst - Compensation and Benefits,Seagate Technology,3.8,Thailand,30+ วันที่ผ่านมา,
55,Budget & Planning - Report Analyst Professional 1,CRC,,Thailand,30+ วันที่ผ่านมา,
56,supply chain data analyst,บริษัท นันยางการทออุตสาหกรรม จำกัด,,"หนองแขม, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
57,Strategic Data Analyst,บริษัท ฮิตาชิเซลส์ (ประเทศไทย) จำกัด,,กรุงเทพมหานคร,16 วันที่ผ่านมา,
58,Fashion,Lazada,3.8,Thailand,14 วันที่ผ่านมา,
59,Systems analyst,IMCO Packaging,,"บางพลี, สมุทรปราการ",30+ วันที่ผ่านมา,
60,รับสมัครด่วน*** data analyst ภาษาอังกฤษดี เงิน27k สัญญา1ปี ท...,"P.R. Recruitment and Business Management Co.,Ltd",,"ห้วยขวาง, กรุงเทพมหานคร",30+ วันที่ผ่านมา,"27,000 - 40,000 บาทต่อเดือน"
61,"Assistant Manager - Manager, Digital Data Scientist",Telenor,,กรุงเทพมหานคร,6 วันที่ผ่านมา,
62,System Analyst,บริษัท ยูทิลิตี้ บิสิเนส อัลลายแอนซ์ จำกัด (UBA),,"จตุจักร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
63,System Analyst,บริษัทจัดหางาน ฮิวแมน เทค จำกัด,,"จตุจักร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
64,Database Analyst & Data Administrator,บริษัท มโนยนต์ชัย จำกัด,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
