,position,company_name,rating,location,date_listed,salary
0,Data Reporting Associate or Analyst,"Cambia Health Solutions, Inc.",3.7,,4 days ago,
1,Data Analyst,Calix,3.2,,11 days ago,
2,Healthcare Data Analyst,Pharmaceutical Strategies Group,3.1,,2 days ago,
3,Healthcare Data Analyst,"PSG Support Services, LLC",,,2 days ago,
4,Data Analyst,kraken,3.9,,7 days ago,
5,Temporary Junior Data Analyst,Kongregate,,"San Francisco, CA 94105 (South Beach area)",2 days ago,
6,Data Analyst,"ConnectYourCare, LLC.",2.8,,16 days ago,
7,Junior Data Analyst/Data Entry/Federal Data Entry,ARK Solutions,4.3,"Austin, TX",5 days ago,
9,Entry Level Data Analyst,Hopjump,,"Boston, MA",30+ days ago,
10,Data Analyst +6 months Remote/Malmö,Accuro,,,4 days ago,
13,Data Analyst,Wellth,,"Los Angeles, CA",3 days ago,"$50,000 - $80,000 a year"
14,Football Data Analyst,Green Bay Packers,4.8,"Green Bay, WI",16 days ago,
15,Data Analyst,CareDox,,"New York, NY 10018 (Garment District area)",Just posted,
16,Data Analyst/Data Scientist,Government of the District of Columbia,3.6,"Washington, DC 20003 (Navy Yard area)",6 days ago,"$82,326 - $105,339 a year"
17,Data Analyst,Cataldo Ambulance,3.2,"Somerville, MA 02143 (East Somerville area)",13 days ago,$16 - $18 an hour
19,Data Entry Analyst,Delta Dental of Arkansas,3.7,"Little Rock, AR 72206",30+ days ago,
21,Senior Data Analyst,Cubane Solutions AB,,,5 days ago,
22,Data Analyst,Boca Raton Regional Hospital,4.2,"Boca Raton, FL",3 days ago,
23,"Analyst, Data Science, Solaria Labs",Liberty Mutual Insurance,3.6,"Boston, MA 02101",2 days ago,"$95,500 - $136,000 a year"
24,Entry Level Data Analyst,impakt Advisors,,"New York, NY 10004 (Financial District area)",30+ days ago,
25,Data Analyst,Ramsey Solutions,4.5,"Franklin, TN 37064 (Goose Creek area)",11 days ago,
26,Customer Success Data Analyst,"Availity, LLC.",,"Jacksonville, FL 32256 (Deerwood area)",5 days ago,
27,Healthcare Data/Reporting Analyst,Ace-stack LLC,,"New York, NY",9 days ago,$125 a day
28,Junior Data Analyst,Atlanta Public Schools,3.6,"Atlanta, GA 30303 (Downtown area)",11 days ago,$20 an hour
34,HR Data Analyst,Tennessee Oncology,3.5,"Midtown, TN",Just posted,
35,Data and Tableau Analyst,State of North Carolina,3.5,"Wake County, NC",3 days ago,"$64,519 - $93,346 a year"
37,Data Analyst,NORC at the University of Chicago,3.6,"Chicago, IL 60602 (The Loop area)",12 days ago,
38,Data Analyst,Public Health Institute,4.1,"Washington County, OR",10 days ago,
39,Data Analyst Supporting the DEA,Forfeiture Support Associates,3.7,"Chicago, IL 60604 (Loop area)",4 days ago,
40,Payments Risk Analyst,Coinbase,4.4,,5 days ago,
42,Football Data Analyst,"Green Bay Packers, Inc.",4.8,"Green Bay, WI 54304",16 days ago,
43,Data Analyst,"Colony Brands, Inc.",3.7,"Monroe, WI",10 days ago,
44,Intern - Data Analyst,Gwinnett County,3.9,"Gwinnett County, GA",4 days ago,$15.76 an hour
46,Business Data Analyst,USC,4.2,"Los Angeles, CA",5 days ago,"$55,000 - $61,000 a year"
47,Program Improvement Data Analyst,Texas Department of Agriculture,3.6,"Austin, TX 78701 (Downtown area)",10 days ago,"$3,400 - $3,950 a month"
48,Data Extraction Analyst,Cyclomedia Technology Inc,3.8,"Middleton, WI 53562",3 days ago,
49,Research & Data Analyst,University of Northern Iowa,4.3,"Cedar Falls, IA 50614",Today,
50,Data Analyst,"Nordex USA, Inc.",3.2,"West Branch, IA 52358",9 days ago,
52,Data Analyst - Kiewit Data Analyst,Kiewit Corporation,3.8,"Omaha, NE",Just posted,
55,Business Analyst,Reynolds and Reynolds,3.2,"College Station, TX 77840",1 day ago,
57,Data Analyst,Monster Energy,4.1,"Corona, CA 92882",23 days ago,
62,Data Analyst,Tampa Family Health Centers,2.7,"Tampa, FL 33612",2 days ago,
64,Quantitative/Data Analyst Intern,KKI Capital,,"New York, NY",30+ days ago,
67,Data Quality Analyst,FedPoint,,"Portsmouth, NH 03801",Today,
69,SQL Data Analyst,Piper Companies,4.4,"Horsham, PA",2 days ago,$55 - $65 an hour
70,Data Analyst,iHeartRadio,3.7,"Nashville, TN",5 days ago,
72,Data Analyst / Junior ML Analyst – Data Analytics,Tishman Speyer,4.0,"New York, NY",17 days ago,
74,AI Insights Data Analyst,Moveworks.ai,,"Mountain View, CA 94040 (Gemello Park area)",13 days ago,
75,Senior Business Data Analyst,Intuit,4.2,"Mountain View, CA 94041",4 days ago,
76,Data Analyst,Orthology Inc,,"Minnetonka, MN 55343",3 days ago,
77,Data Analyst,City of Abilene,3.9,"Abilene, TX 79601",3 days ago,$27.22 - $33.02 an hour
78,Data Analyst/Engineer,Simplepractice,5.0,"Santa Monica, CA",5 days ago,
79,Analyst-Data,Riley Hospital,3.8,"Indianapolis, IN 46202",30+ days ago,
80,Data Analyst,Ace-stack LLC,,"Kirkland, WA",30+ days ago,$70 an hour
82,Digital Data Analyst,UNITED PARCEL SERVICE,3.8,"Alpharetta, GA",6 days ago,
83,Data Analyst I,Sparksoft Corporation,3.6,United States,18 days ago,
84,PDM Data and Reporting Analyst,Accenture,4.0,"San Francisco, CA 94105 (South Beach area)",2 days ago,
86,Marketing Data Analyst,Elephant Insurance,3.2,"Henrico, VA 23233",30+ days ago,
87,"Data Analyst, Business Analysis and Reporting",Publix,4.1,"Lakeland, FL 33811",30+ days ago,
88,Data Analyst / Intelligence Analyst at USPIS,Forfeiture Support Associates,3.7,"New York, NY 10007 (Financial District area)",6 days ago,
90,Legal Data Analyst,Bloomberg,3.9,"New York, NY",10 days ago,
91,Data Analyst,OpenSquare,2.8,"Seattle, WA 98108 (Georgetown area)",13 days ago,
93,Marketing Data Analyst,Dave,,"Los Angeles, CA 90019 (Mid City area)",3 days ago,
95,Contingent Data Analyst,First Republic Bank,3.9,"San Francisco, CA 94111 (Financial District area)",2 days ago,
97,Data/Sales Analyst,Samsung HVAC,4.0,Texas,12 days ago,
100,Data Analyst,"DRB Systems, LLC",3.1,"Meridian, ID 83646",18 days ago,
102,Full-Time Data Analyst - Statewide,Chester County Intermediate Unit,4.2,"Downingtown, PA 19335",30+ days ago,"$91,353 - $114,192 a year"
104,Data Analyst,"OverDrive, Inc.",,"Cleveland, OH 44125",18 days ago,
120,Data Analyst,Columbia University,4.1,"New York, NY",7 days ago,
122,"Senior Analyst, Data and Insights (Wirecutter)",The New York Times,4.0,"New York, NY",5 days ago,
123,"DATA ANALYST/BI DEVELOPER, #10666",InspiHER Tech,,"Dallas, TX",11 days ago,"$60,000 - $70,000 a year"
125,DATA COLLECTION ANALYST,Granite State Data Group,,"Stratham, NH",24 days ago,
126,Data Analyst,Polarr,,"San Jose, CA 95123 (Blossom Valley area)",13 days ago,
127,Business Analyst - Data Analytics,"Culver Franchising System, LLC",,"Prairie du Sac, WI 53578",11 days ago,
128,"Entry Level, Data Acquisition Analyst",Ipreo,3.1,"Nashville, TN",4 days ago,
129,Data Analyst - Global Data Analytics,Bloomberg,3.9,"Princeton, NJ",3 days ago,
133,Data Scientist Intern,Jostens,3.7,"Minneapolis, MN 55435",3 days ago,
134,NA Data Reporting Analyst,ADT Security Services,3.4,"Irving, TX",2 days ago,
135,Data + Business Intelligence Analyst,Duolingo,4.7,"Pittsburgh, PA",12 days ago,
137,JR. DATA ANALYST,BCMG,,"San Juan, PR 00901",30+ days ago,
138,Data Development Analyst~,Costco Wholesale,4.2,"Issaquah, WA",9 days ago,
140,Data Analyst,CapB InfoteK,,"Hartford, CT",30+ days ago,
141,Data Center Operations Technician Intern - Diversity Program...,Oracle,3.8,"Frisco, TX 75034",2 days ago,$25 an hour
142,Healthcare Data Analyst - Minneapolis,Bind Benefits,,"Minneapolis, MN 55416",Today,
143,Protection Data Analyst,Virginia Dept of Social Services,3.2,"Richmond, VA",5 days ago,"$59,909 - $71,800 a year"
145,Data Analyst,Cambridge Associates LLC,3.7,"Boston, MA 02110 (Downtown area)",30+ days ago,
147,Data Analyst,Cubic Corporation,3.7,"Chicago, IL",13 days ago,
151,Data Analyst,Reynolds and Reynolds,3.2,"College Station, TX 77840",8 days ago,
152,Sr Data Analyst,Crown Castle,3.8,United States,10 days ago,
153,Data Analyst Supporting the ATF,Forfeiture Support Associates,3.7,"Denver, CO 80202 (Lodo area)",5 days ago,
154,Geospatial Data Analyst,Oak Ridge National Laboratory,4.4,"Oak Ridge, TN 37831",12 days ago,
155,Data Entry Analyst,St. Jude Children's Research Hospital,4.5,"Memphis, TN 37544",30+ days ago,
156,"Data Analyst, People Analytics",Splunk,4.2,"San Francisco, CA",9 days ago,
157,Data Analyst,Hinge Health,,"San Francisco, CA",30+ days ago,
158,Data Production Analyst,The Spur Group,3.0,"Ellensburg, WA",13 days ago,
160,Data Analytics Undergrad Intern,Intel,4.1,"Folsom, CA 95630",3 days ago,
161,"Associate Analyst, Data Analytics",CMI/Compas,3.9,"New York, NY",30+ days ago,
162,"Data Analyst (LiDar, Ortho/Imagery)",GeoDigital,3.2,"Houston, TX 77032",30+ days ago,
163,Business Analyst I,Zulily,3.2,"Seattle, WA 98121 (Belltown area)",24 days ago,
164,Manufacturing Data Analyst,WestRock,3.3,"Woodridge, IL",30+ days ago,
165,Academic Data Analyst,PTC,3.7,"Boston, MA 02210 (South Boston area)",19 days ago,
166,Data Analyst I,L.A. Care Health Plan,3.3,"Los Angeles, CA 90017 (Westlake area)",3 days ago,
167,Data Analyst,Axiologic Solutions,4.4,"Coronado, CA",30+ days ago,
168,Entry-Level Business Analyst,Global Systems,,"Irving, TX 75038 (Cottonwood area)",30+ days ago,
169,Ad Integrity Data Analyst-ATX,TikTok,3.9,"Austin, TX 78744",6 days ago,
171,Data Program Analyst - Tabeau (340b),AllianceRx Walgreens Prime,2.6,"Deerfield, IL",2 days ago,
172,Market Data Analyst,Capital Group,3.9,"Los Angeles, CA 90071 (Downtown area)",16 days ago,
176,Omnichannel Marketing Data Analyst,Sun & Ski,3.9,"Houston, TX",3 days ago,
177,JR OPERATIONS DATA ANALYST,Texas Disposal Systems,3.1,"Austin, TX 73301 (St Edwards area)",4 days ago,
179,Data Analyst,IXIS,,"Burlington, VT 05401",26 days ago,
180,Data Analyst,Health & Human Services Comm,3.4,"Austin, TX 78754",30+ days ago,"$4,023 - $6,579 a month"
181,Data Analyst (Extreme),Sony/ATV Music Publishing LLC,4.1,"Santa Monica, CA",30+ days ago,
182,Business Data Analyst,Brady Corporation,3.4,"Milwaukee, WI 53223 (Menomonee River Hills East area)",30+ days ago,
183,"Analyst, Data Stewardship 7826",Comcast,3.7,"Philadelphia, PA",5 days ago,
184,Data Analyst I,Massachusetts General Hospital(MGH),4.3,"Charlestown, MA 02129",5 days ago,
186,Research Data Analyst,University of Nebraska Medical Center,4.0,"Omaha, NE",4 days ago,"$46,700 - $70,100 a year"
192,Data Analyst,Lucky Day,4.3,"Los Angeles, CA",26 days ago,
193,Census Data Analyst - Medical - Underwriting,Cigna,3.7,"Independence, OH 44131",26 days ago,
